Pays,Capitale,Superficie(en km2),Monnaie
Albanie,Tirana,28748,Lek
Allemagne,Berlin,357121,Euro
Andorre,Andorre-La-Vieille,468,Euro
Arménie,Erevan,29743,Dram
Autriche,Vienne,83879,Euro
Azerbaïdjan,Bakou,86600,Manat
Belgique,Bruxelles,30528,Euro
